Role,Company,Category,Years' Experience,City,Country,Gender,Currency,Salary,Mode,Period,Non-cash Compensation,Verified Salary Slip
Data Scientist,Purchase to unlock 👆,Fintech,6,Jakarta,ID,Male,IDR,14500000,Gross,Monthly,,
Data Scientist,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,5500000,Gross,Monthly,,Verified
Android Developer,Purchase to unlock 👆,Other / Unknown,13,Jakarta,ID,Male,IDR,37799000,Net,Monthly,Medical Insurance,
UX Writer,Purchase to unlock 👆,Other / Unknown,1,Yogyakarta,ID,Male,IDR,3000000,Gross,Monthly,Inpatient insurance,
Data Analyst,Purchase to unlock 👆,Other / Unknown,7,Jakarta,ID,Male,IDR,9000000,Net,Monthly,,
Data Analyst,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Male,IDR,15000000,Gross,Monthly,Healthcare a month salary for a year 15 days off,
Data Analyst,Purchase to unlock 👆,Other / Unknown,6,Surabaya,ID,Male,IDR,7000000,Net,Monthly,,
Fullstack Developer,Purchase to unlock 👆,Other / Unknown,5,Surabaya,ID,Prefer not to tell,IDR,46000000,Net,Monthly,,
Project Manager,Gojek,Other / Unknown,3,Jakarta,ID,Prefer not to tell,IDR,20000000,Net,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,0,Yogyakarta,ID,Male,IDR,5200000,Net,Monthly,Insurance,
Software Engineer,Gojek,Other / Unknown,5,Yogyakarta,ID,Prefer not to tell,IDR,28000000,Net,Monthly,,
Software Engineer,Purchase to unlock 👆,Cement Factory,4,Jakarta,ID,Male,IDR,16000000,Gross,Monthly,,
Software Engineer,Purchase to unlock 👆,Other / Unknown,2,Jakarta,ID,Prefer not to tell,IDR,12000000,Net,Monthly,Stock: Around 1x salary per year Performance Bonus: 6-8x Salary (Depends on your performance and company performance),
Software Engineer,Purchase to unlock 👆,Other / Unknown,1,Surabaya,ID,Male,IDR,46000000,Gross,Monthly,"Stock options, flexible time off, WFH",Verified
Software Engineer,Bukalapak,Other / Unknown,7,Jakarta,ID,Prefer not to tell,IDR,23000000,Gross,Monthly,,
Tester,Lazada,Other / Unknown,4,Jakarta,ID,Male,IDR,5800000,Gross,Monthly,,
Tester,Purchase to unlock 👆,Other / Unknown,1,Banten,ID,Male,IDR,4500000,Gross,Monthly,"BPJS TK, BPJS Kesehatan, Bensin, Sewa Motor, dan Komisi",
Frontend Engineer,Purchase to unlock 👆,Other / Unknown,1,Jakarta,ID,Prefer not to tell,IDR,9000000,Gross,Monthly,"WFH, Insurance",
